"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "Ignore", "Markdown", "CSS", "XML", "HTML", "YAML", "comment", "blank", "total"
"d:\Projects\cookbook\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 1, 18
"d:\Projects\cookbook\.github\workflows\dependabot-reviewer.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"d:\Projects\cookbook\README.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 15, 54
"d:\Projects\cookbook\client\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"d:\Projects\cookbook\client\.prettierrc", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Projects\cookbook\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Projects\cookbook\client\package-lock.json", "JSON", 0, 0, 2637, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2638
"d:\Projects\cookbook\client\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Projects\cookbook\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\cookbook\client\src\App.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Projects\cookbook\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\components\AuthForms\AuthForms.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"d:\Projects\cookbook\client\src\components\AuthForms\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"d:\Projects\cookbook\client\src\components\AuthForms\LoginForm\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\AuthForms\MobileAuth\MobileAuth.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\cookbook\client\src\components\AuthForms\MobileAuth\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\AuthForms\MobileAuth\style.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Projects\cookbook\client\src\components\AuthForms\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"d:\Projects\cookbook\client\src\components\AuthForms\RegisterForm\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\AuthForms\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\AuthForms\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 32, 227
"d:\Projects\cookbook\client\src\components\CreateForm\CreateForm.tsx", "TypeScript JSX", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 207
"d:\Projects\cookbook\client\src\components\CreateForm\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\CreateForm\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Projects\cookbook\client\src\components\CreateForm\style.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 11, 100
"d:\Projects\cookbook\client\src\components\GetUserId\GetUserId.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Projects\cookbook\client\src\components\GetUserId\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\Header\Header.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Projects\cookbook\client\src\components\Header\headerComps\PageBox\PageBox.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"d:\Projects\cookbook\client\src\components\Header\headerComps\PageBox\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\Header\headerComps\PageBox\style.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\Projects\cookbook\client\src\components\Header\headerComps\UserBox\UserBox.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"d:\Projects\cookbook\client\src\components\Header\headerComps\UserBox\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\Header\headerComps\UserBox\style.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Projects\cookbook\client\src\components\Header\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\Header\style.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Projects\cookbook\client\src\components\LoadingComponent\LoadingComponent.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"d:\Projects\cookbook\client\src\components\LoadingComponent\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\LoadingComponent\loading.css", "CSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"d:\Projects\cookbook\client\src\components\RecipeDetails\GetRecipeDetails.tsx", "TypeScript JSX", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 183
"d:\Projects\cookbook\client\src\components\RecipeDetails\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\RecipeDetails\style.css", "CSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 10, 87
"d:\Projects\cookbook\client\src\components\RecipeDetails\style.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 5, 93
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterCheckBoxes\FilterCheckBoxes.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterCheckBoxes\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterCheckBoxes\style.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRadio\FilterRadio.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRadio\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRadio\style.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRating\FilterRating.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRating\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterRating\style.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterSelect\FilterSelect.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterSelect\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\RecipeFilter\FilterSelect\style.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Projects\cookbook\client\src\components\RecipeFilter\RecipeFilter.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\Projects\cookbook\client\src\components\RecipeFilter\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\components\RecipeFilter\style.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 4, 61
"d:\Projects\cookbook\client\src\components\RecipeList\RecipeList.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 138
"d:\Projects\cookbook\client\src\components\RecipeList\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\RecipeList\style.css", "CSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"d:\Projects\cookbook\client\src\components\RecipeList\style.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 11, 73
"d:\Projects\cookbook\client\src\components\StyledButtons\StyledButtons.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"d:\Projects\cookbook\client\src\components\StyledButtons\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projects\cookbook\client\src\components\TextComponent\TextComponent.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\Projects\cookbook\client\src\components\TextComponent\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserDetails\GetUserDetails.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"d:\Projects\cookbook\client\src\components\UserDetails\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserDetails\style.css", "CSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\Projects\cookbook\client\src\components\UserDetails\style.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Projects\cookbook\client\src\components\UserFollowList\UserFollowList.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 144
"d:\Projects\cookbook\client\src\components\UserFollowList\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserFollowList\style.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\Projects\cookbook\client\src\components\UserFollow\HandleUserFollow.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"d:\Projects\cookbook\client\src\components\UserFollow\HandleUserUnfollow.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"d:\Projects\cookbook\client\src\components\UserFollow\UserFollow.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\Projects\cookbook\client\src\components\UserFollow\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserRecipes\UserRecipes.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"d:\Projects\cookbook\client\src\components\UserRecipes\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserRecipes\style.css", "CSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"d:\Projects\cookbook\client\src\components\UserRecipes\style.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"d:\Projects\cookbook\client\src\components\useGetRecipes\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\useGetRecipes\useGetRecipes.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"d:\Projects\cookbook\client\src\components\useGetUsers\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\useGetUsers\useGetUsers.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\cookbook\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\cookbook\client\src\main.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\cookbook\client\src\pages\AuthPage\Auth.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Projects\cookbook\client\src\pages\AuthPage\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\cookbook\client\src\pages\Create.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\client\src\pages\Home.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Projects\cookbook\client\src\pages\Login.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Projects\cookbook\client\src\pages\RecipeDetails.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\client\src\pages\UserDetails.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\cookbook\client\src\pages\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Projects\cookbook\client\src\redux\slices\currentUserSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\filterRatingSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\followingArraySlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\followingSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\loginSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\paginationSlice.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Projects\cookbook\client\src\redux\slices\pendingSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\recipeDietSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\recipeQuerySlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\recipeSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\urlSlice.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Projects\cookbook\client\src\redux\slices\userFollowingslice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userIdSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userNameSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\store.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\Projects\cookbook\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Projects\cookbook\client\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Projects\cookbook\client\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Projects\cookbook\client\vite.config.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\Projects\cookbook\server\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"d:\Projects\cookbook\server\.prettierrc", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Projects\cookbook\server\controllers\RecipeController.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 127
"d:\Projects\cookbook\server\controllers\UserController.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"d:\Projects\cookbook\server\index.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Projects\cookbook\server\middleware\upload.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Projects\cookbook\server\models\recipeModel\RecipeModel.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\cookbook\server\models\recipeModel\RecipeSchema.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Projects\cookbook\server\models\recipeModel\RecipeTypes.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\cookbook\server\models\userModel\UserModel.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\cookbook\server\models\userModel\UserSchema.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Projects\cookbook\server\models\userModel\UserTypes.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\server\package-lock.json", "JSON", 0, 0, 2382, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2383
"d:\Projects\cookbook\server\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Projects\cookbook\server\routes\AuthRoutes.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 71
"d:\Projects\cookbook\server\routes\RecipeRoutes.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Projects\cookbook\server\routes\UserRoutes.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Projects\cookbook\server\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 49, 2464, 5138, 616, 4, 39, 486, 2, 13, 40, 16, 554, 9421